Generation,Fitness
0,7.95849949956836
1,2.624324395275444
2,1.0262231183151656
3,1.0262231183151656
4,0.7327394553502486
5,0.7327394553502486
6,0.7327394553502486
7,0.7327394553502486
8,0.7327394553502486
9,0.7327394553502486
10,0.7327394553502486
11,0.7327394553502486
12,0.7327394553502486
13,0.7048949360571477
14,0.7048949360571477
15,0.7048949360571477
16,0.7048949360571477
17,0.7048949360571477
18,0.7048949360571477
19,0.7048949360571477
20,0.7048949360571477
21,0.7048949360571477
22,0.7048949360571477
23,0.7048949360571477
24,0.7048949360571477
25,0.08691518300271639
26,0.08691518300271639
27,0.08691518300271639
28,0.08691518300271639
29,0.08691518300271639
30,0.08571304035502791
31,0.08571304035502791
32,0.08571304035502791
33,0.08571304035502791
34,0.08571304035502791
35,0.08571304035502791
36,0.08571304035502791
37,0.08571304035502791
38,0.08571304035502791
39,0.08571304035502791
40,0.08571304035502791
41,0.08571304035502791
42,0.08571304035502791
43,0.08571304035502791
44,0.08571304035502791
45,0.08571304035502791
46,0.08571304035502791
47,0.08571304035502791
48,0.08571304035502791
49,0.08571304035502791
50,0.08571304035502791
51,0.08571304035502791
52,0.08571304035502791
53,0.08571304035502791
54,0.08571304035502791
55,0.08571304035502791
56,0.08571304035502791
57,0.08571304035502791
58,0.06454107572797341
59,0.06454107572797341
60,0.06454107572797341
61,0.017623649571682165
62,0.017623649571682165
63,0.017623649571682165
64,0.017623649571682165
65,0.017623649571682165
66,0.017623649571682165
67,0.017623649571682165
68,0.017623649571682165
69,0.017623649571682165
70,0.017623649571682165
71,0.017623649571682165
72,0.017623649571682165
73,0.017623649571682165
74,0.017623649571682165
75,0.017623649571682165
76,0.017623649571682165
77,0.017623649571682165
78,0.017623649571682165
79,0.017623649571682165
80,0.017623649571682165
81,0.017623649571682165
82,0.017623649571682165
83,0.008850936696173761
84,0.008850936696173761
85,0.008850936696173761
86,0.008850936696173761
87,0.008850936696173761
88,0.008850936696173761
89,0.008850936696173761
90,0.008850936696173761
91,0.008850936696173761
92,0.008850936696173761
93,0.008850936696173761
94,0.008850936696173761
95,0.008850936696173761
96,0.008850936696173761
97,0.008850936696173761
98,0.008850936696173761
99,0.008850936696173761
100,0.008850936696173761
