Generation,Fitness
0,3.8239174713060358
1,2.664068028192599
2,2.001379016376486
3,2.001379016376486
4,2.001379016376486
5,1.3691541691765927
6,1.3691541691765927
7,1.3691541691765927
8,0.5478192120560017
9,0.5478192120560017
10,0.5478192120560017
11,0.5478192120560017
12,0.5478192120560017
13,0.07663308497712862
14,0.07663308497712862
15,0.07663308497712862
16,0.07663308497712862
17,0.07663308497712862
18,0.07663308497712862
19,0.07663308497712862
20,0.07663308497712862
21,0.07663308497712862
22,0.07663308497712862
23,0.07377684261398088
24,0.07377684261398088
25,0.07377684261398088
26,0.07377684261398088
27,0.07377684261398088
28,0.07377684261398088
29,0.07377684261398088
30,0.0319829180854434
31,0.030639360563061047
32,0.030639360563061047
33,0.012201894239357358
34,0.0020708612198454546
35,0.0020708612198454546
36,0.0020708612198454546
37,0.0020708612198454546
38,0.0020708612198454546
39,0.0020708612198454546
40,0.0020708612198454546
41,0.0020708612198454546
42,0.001510672049921169
43,0.001510672049921169
44,0.001510672049921169
45,0.001510672049921169
46,0.001510672049921169
47,0.001510672049921169
48,0.001510672049921169
49,0.001510672049921169
50,0.001510672049921169
51,0.0012913801911480505
52,0.0012913801911480505
53,0.0012913801911480505
54,0.00032852781237835416
55,0.00032852781237835416
56,0.00032852781237835416
57,0.00032852781237835416
58,0.00032852781237835416
59,0.00032852781237835416
60,0.00032852781237835416
61,0.00032852781237835416
62,0.00032852781237835416
63,0.00032852781237835416
64,0.00032852781237835416
65,0.00032852781237835416
66,5.6627767566652665e-05
67,5.6627767566652665e-05
68,5.6627767566652665e-05
69,5.6627767566652665e-05
70,5.6627767566652665e-05
71,4.6526008894431925e-06
72,4.6526008894431925e-06
73,4.6526008894431925e-06
74,4.6526008894431925e-06
75,4.6526008894431925e-06
76,4.6526008894431925e-06
77,4.6526008894431925e-06
78,4.6526008894431925e-06
79,4.543210135210529e-06
80,4.543210135210529e-06
81,4.543210135210529e-06
82,4.543210135210529e-06
83,4.543210135210529e-06
84,4.543210135210529e-06
85,4.543210135210529e-06
86,4.543210135210529e-06
87,4.543210135210529e-06
88,4.543210135210529e-06
89,4.543210135210529e-06
90,4.543210135210529e-06
91,4.543210135210529e-06
92,4.543210135210529e-06
93,4.543210135210529e-06
94,4.543210135210529e-06
95,1.746892479559392e-07
96,1.746892479559392e-07
97,1.746892479559392e-07
98,1.746892479559392e-07
99,1.746892479559392e-07
